Código proyecto,Nombre proyecto,Cliente,Industria,Categoría principal,Participantes,Tags,Contraparte,Cargo contraparte,Fecha Inicio,Fecha término,Resumen proyecto,Link,Modificado por,Creado,Modificado,Encargado de proyecto N°1 (Creador Proyecto/Modificador PREZ Antiguo),Encargado de proyecto N°2 (Participante Antiguo),Encargado de proyecto N°3 (Modificador PREZ reciente)
AMS01,Gestión del cambio Modelo Operativo,Antofagasta Minerals,Minería,Gestión del cambio,"[""José Miguel Sepúlveda"",""Alejandra Loyola"",""Daniel Coelho"",""Alfonso Undurraga"",""Cristian Lichtin"",""Juan Ignacio Castro"",""Pablo González"",""Nicolás Díaz"",""Vicente Loyola""]","[""Capacitación"",""Comités"",""Cultura organizacional"",""KPIs"",""Mapeo de stakeholders"",""Modelo operativo"",""Agentes de cambio"",""Diagnostico"",""Plan de gestión del cambio"",""Quick wins""]",Pablo Carvallo,Gerente corporativo de optimización de operaciones,7/1/2018,4/6/2018,El proyecto consistió en la implementación de un plan de gestión del cambio para habilitar la instalación del nuevo Modelo Operativo diseñado por Bain en las 4 compañías del grupo Antofagasta Minerals,/sites/Proyectos-TheHouse/Documentos compartidos/Antofagasta Minerals/AMS01 - Gestión del cambio MO,Josue Meneses,10/8/2024 11:41 AM,7/23/2026 7:34 AM,Mariana  Hernandez Eyquem,Alfonso Undurraga Bordeu,
ANG02,Transformación Los Bronces,Anglo American,Minería,Eficiencia operacional,"[""Javier Uribe"",""José Miguel Sepúlveda"",""Mariana Hernández""]","[""Roadmap"",""Productividad"",""Prioridades estratégicas"",""Plan de implementación"",""Eficiencia"",""Benchmark"",""Caso de negocio"",""Bonos"",""Comités""]",Juan Carlos Román,VP Sustainability and Productivity,1/5/2018,2/9/2018,"Apoyar al equipo al equipo de productividad y eficiencia de Anglo American a diseñar un plan de transformación a largo plazo para Los Broces, para revertir los malos resultados de los últimos años y anticiparse a un escenario desafiante que se generaría",/sites/Proyectos-TheHouse/Documentos compartidos/Anglo American/ANG02 - Transformación Los Bronces,Josue Meneses,10/8/2024 11:41 AM,7/22/2026 12:59 PM,Martín Rosenfeld,Jose Miguel Sepúlveda Donoso,Martín Rosenfeld
ANG03,Reubicación de personal Los Bronces,Anglo American,Minería,Gestión del cambio,"[""José Miguel Sepúlveda"",""Alejandra Loyola"",""Loredanna Celleri"",""Alfonso Undurraga"",""Pablo González"",""Mariana Hernández"",""Juan Ignacio Castro""]","[""Agentes de cambio"",""Alineamiento ejecutivo"",""Capacitación"",""Implementación de sistemas"",""Cultura organizacional"",""Mapeo de stakeholders"",""Onboarding"",""Plan de implementación"",""KPIs"",""Plan de gestión del cambio"",""Seguimiento"",""Plan de comunicación""]",Sofía Sánchez/ Patricio Chacana,VP Personas y Organización,6/1/2020,16/4/2020,"El objetivo del proyecto fue diseñar e implementar un plan para reubicar fuera de la operación a los supervisores del turno H de Los Bronces y Las Tórtolas, mejorando la seguridad, calidad de vida y flexibilidad de los trabajadores. El proyecto contó con ",/sites/Proyectos-TheHouse/Documentos compartidos/Anglo American/ANG03 - Relocation Offsite LB,Josue Meneses,10/8/2024 11:41 AM,7/22/2026 12:49 PM,,Alfonso Undurraga Bordeu,
ANT01,Instalación Modelo Operativo,Antofagasta Minerals,Minería,Gestión del cambio,"[""Mariana Hernández"",""Tomás Tapia"",""Ignacio Villar"",""Pablo González"",""Alejandra Loyola""]","[""Agentes de cambio"",""Capacitación"",""Cultura organizacional"",""Mejores practicas"",""Modelo operativo"",""Quick wins"",""Mapeo de stakeholders"",""Seguimiento"",""KPIs"",""Plan de gestión del cambio"",""Roadmap""]",Claudia Rozas,PMO Antucoya,5/10/2018,8/10/2018,"Se trabajó con Antucoya en la implementación del Modelo Operativo, a través de trabajo en terreno enfocado en cuatro pilares: transformación cultural, capacidades y entendimiento del rol, foros y KPIs, y guiado por cuatro herramientas: efectividad de foro",/:f:/s/Proyectos-TheHouse/IgBZBmYHSYG6SrGEEzgycxqJAQO05PTX9XEzkvWGg-hb7K0?e=rtZAHn,María Fé Solís,10/8/2024 11:41 AM,6/12/2026 9:37 AM,,,
ANT02,Continuación Instalación Modelo Operativo,Antofagasta Minerals,Minería,Gestión del cambio,"[""Mariana Hernández"",""Alejandra Loyola"",""Juan Pablo Arriagada"",""Pablo González""]","[""Alineamiento ejecutivo"",""KPIs"",""Propósito"",""Seguimiento"",""Quick wins"",""Caso de negocio"",""Levantamiento de agenda"",""Plan de gestión del cambio"",""Roadmap""]",Claudia Rozas,PMO Antucoya,17/8/2018,30/9/2018,"Luego de un primer proyecto de acompañamiento la instalación del Modelo Operativo, se continuó trabajando con Antucoya a través de trabajo en terreno enfocado en cuatro pilares: transformación cultural, capacidades y entendimiento del rol, foros y KPIs, y",/sites/Proyectos-TheHouse/Documentos compartidos/Antofagasta Minerals/ANT02 - Continuación Instalación MO,Josue Meneses,10/8/2024 11:41 AM,8/9/2026 3:39 PM,,,Joaquín López
ARA03,Planificación estratégica 2018,Arauco,RR Naturales,Estrategia,"[""Alfonso Undurraga"",""Victor Alastuey"",""José Miguel Sepúlveda"",""Francisco Álamos"",""Alejandra Loyola""]","[""Desarrollo ejecutivo"",""Evaluación 360°"",""Plan de implementación"",""Alineamiento ejecutivo"",""Comités"",""Diagnostico"",""Focos estratégicos"",""Planificación estratégica"",""Coaching"",""Definiciones estratégicas"",""Equipos de alto desempeño"",""Iniciativas estratégicas"",""Prioridades estratégicas"",""Propósito""]",Francisco Zamorano,Gerente de Personas y SSO Celulosa Arauco,12/1/2017,,"Se acompaño al Negocio de Celulosa Arauco en las definiciones estratégicas para el año 2018, lo que fue acompañado con un frente de liderazgo movilizador donde se evaluaron competencias y capacidades de principales ejecutivos del Negocio, los que en algun",/sites/Proyectos-TheHouse/Documentos compartidos/Arauco/ARA03 - Planificación estratégica 2018,Josue Meneses,10/8/2024 11:41 AM,7/23/2026 7:21 AM,Sofía Figueroa,Alfonso Undurraga Bordeu,
ARA04,Focos estratégicos Negocio TI Celulosa y Energía 2018,Arauco,RR Naturales,Estrategia,"[""José Miguel Sepúlveda"",""Juan Pablo Arriagada"",""Enrique Bravo"",""Victor Alastuey""]","[""Definiciones estratégicas"",""Diagnostico"",""Implementación de sistemas"",""Plan de implementación"",""Productividad"",""Roadmap""]",Sebastián Mandiola,Gerente Suministros Celulosa Arauco,9/3/2018,14/11/2018,"Se apoyo en el proceso de planificación de desarrollo tecnológico para las plantas de Celulosa y Energía, para lo cual se trabajo con el equipo ejecutivo del Negocio y los gerentes de las 6 plantas. Se realizaron tres sesiones de trabajo que se tradujeron",/sites/Proyectos-TheHouse/Documentos compartidos/Arauco/ARA04 - Focos estratégicos TI,Josue Meneses,10/8/2024 11:41 AM,7/23/2026 7:23 AM,,Jose Miguel Sepúlveda Donoso,
ARA05,Focos Estratégicos para el Negocio de Celulosa y Energía 2019,Arauco,RR Naturales,Estrategia,"[""Alfonso Undurraga"",""Juan Pablo Arriagada"",""Javier Uribe"",""Victor Alastuey"",""José Miguel Sepúlveda""]","[""Descriptor de cargo"",""Implementación de sistemas"",""Iniciativas estratégicas"",""Optimización de procesos"",""Plan de implementación"",""Roadmap"",""Seguimiento""]",Sebastián Mandiola,Gerente Suministros Celulosa Arauco,17/12/2018,3/7/2019,Proyecto que surge como continuación a ARA04 (Planificación desarrollo tecnológico en plantas de celulosa). Durante el proyecto se apoyo en la planificación a detalle de la implementación del desarrollo tecnológico para las plantas Licancel y Arauco. Se r,/sites/Proyectos-TheHouse/Documentos compartidos/Arauco/ARA05 - Planificación desarrollo tecnológico,Josue Meneses,10/8/2024 11:41 AM,7/27/2026 9:34 AM,,Alfonso Undurraga Bordeu,Sofía Figueroa
ARA07,Planificación estratégica de Gerencia de Informática,Arauco,RR Naturales,Estrategia,"[""Pablo González"",""Nicolás Díaz"",""José Miguel Sepúlveda"",""Tomás Tapia"",""Juan Diego Covarrubias""]","[""Focos estratégicos"",""Alineamiento ejecutivo"",""Derco"",""Posicionamiento estratégico"",""Prioridades estratégicas"",""Benchmark"",""Cultura organizacional"",""Socio estratégico"",""Definiciones estratégicas"",""Iniciativas estratégicas"",""Integración"",""Plan de comunicación"",""Plan de implementación"",""Planificación estratégica"",""Propósito"",""Roadmap""]",Leandro San Miguel,Gerente TI,20/12/2018,23/4/2019,"Se realizó un análisis de la situación actual de la Gerencia en tres dimensiones: desafíos de Arauco, tendencias de industria y visión interna. A partir de estos hallazgos se realizó un proceso de planificación estratégica que resultó en el objetivo de la",/sites/Proyectos-TheHouse/Documentos compartidos/Arauco/ARA07 - Estrategia Gerencia Informática,Josue Meneses,10/8/2024 11:41 AM,7/23/2026 7:23 AM,,Jose Miguel Sepúlveda Donoso,
ARA08,Apoyo y Seguimiento de Células Fast Track de la Gerencia de Informática,Arauco,RR Naturales,Eficiencia operacional,"[""Tomás Tapia"",""José Miguel Sepúlveda"",""Juan Ignacio Castro"",""Nicolás Díaz"",""Pablo González""]","[""Capacitación"",""Agile"",""Definiciones estratégicas"",""Eficiencia"",""Focos estratégicos"",""Implementación de sistemas"",""Iniciativas estratégicas"",""Mapeo de stakeholders"",""Optimización de procesos"",""Plan de implementación"",""Planificación estratégica"",""Prioridades estratégicas"",""Roadmap"",""Productividad"",""Seguimiento"",""Propósito"",""Quick wins"",""Socio estratégico""]",Leandro San Miguel,Gerente de Informática,15/4/2019,8/9/2019,"A partir de una de las iniciativas de la planificación estratégica de la Gerencia de Informática, se piloteo la metodología ágil en la ejecución de algunos proyectos informáticos. Se crearon cuatro células que fueron capacitadas en la metodología",/sites/Proyectos-TheHouse/Documentos compartidos/Arauco/ARA08 - Procesos Fast Track,Josue Meneses,10/8/2024 11:41 AM,7/23/2026 7:27 AM,,Jose Miguel Sepúlveda Donoso,
